ID	SL	TL	BC_SL	BC_TL	temp	origin	F1_diet	sex	weight	family	sample_type	Comments
AS02953	5.288	5.900	1.2714E-09	9.15381E-10	cold	hs	bw	f	1.88	35	cross	
AS02954	4.525	5.142	1.27358E-09	8.67932E-10	cold	hs	cl	m	1.18	35	cross	
AS02955	4.593	5.177	9.18545E-10	6.41439E-10	cold	hs	cl	f	0.89	35	cross	
AS02956	4.273	4.874	1.1023E-09	7.42749E-10	cold	cs	cl	m	0.86	25	cross	no testis pic
AS02957	4.451	5.070	9.41251E-10	6.36875E-10	cold	cs	cl	f	0.83	25	cross	
AS02958	4.194	4.787	1.51821E-09	1.021E-09	cold	hs	bw	m	1.12	23	cross	
AS02959	4.127	4.693	1.20925E-09	8.2237E-10	cold	hs	bw	f	0.85	23	cross	
AS02960	4.368	4.910	1.21192E-09	8.53251E-10	cold	cs	bw	m	1.01	18	cross	
AS02961	4.314	4.856	9.71525E-10	6.81175E-10	cold	cs	bw	f	0.78	18	cross	
AS02962	4.990	5.527	1.28771E-09	9.47658E-10	cold	cs	bw	m	1.60	3	cross	
AS02963	3.954	4.446	9.86779E-10	6.94099E-10	cold	cs	bw	f	0.61	18	cross	
AS02964	4.457	5.014	1.31018E-09	9.20248E-10	cold	cs	bw	m	1.16	13	cross	
AS02965	4.175	4.660	1.01686E-09	7.31264E-10	cold	cs	bw	f	0.74	18	cross	
AS02966	4.484	5.054	1.25338E-09	8.75332E-10	cold	cs	bw	m	1.13	4	cross	
AS02967	4.469	5.089	1.23243E-09	8.34633E-10	cold	cs	bw	f	1.10	25	cross	
AS02968	4.316	4.941	1.19406E-09	7.95842E-10	cold	hs	cl	m	0.96	23	cross	
AS02969	3.953	4.566	1.11704E-09	7.24839E-10	cold	hs	cl	f	0.69	23	cross	
AS02970	4.762	5.379	1.2409E-09	8.60994E-10	cold	hs	cl	m	1.34	33_34_36	cross	
AS02971	4.600	5.181	1.19175E-09	8.34098E-10	cold	hs	cl	m	1.16	33_34_36	cross	
AS02972	4.337	4.939	8.94859E-10	6.05907E-10	cold	hs	cl	f	0.73	33_34_36	cross	
AS02973	4.443	5.056	9.91951E-10	6.73129E-10	cold	hs	cl	f	0.87	33_34_36	cross	
AS02974	5.105	5.701	1.2778E-09	9.17478E-10	cold	hs	bw	m	1.70	33_34_36	cross	
AS02975	4.834	5.421	1.05348E-09	7.4698E-10	cold	hs	bw	f	1.19	33_34_36	cross	
AS02976	4.110	4.672	1.31074E-09	8.92345E-10	cold	cs	cl	m	0.91	2	cross	
AS02977	4.626	5.244	1.10106E-09	7.55855E-10	cold	cs	cl	f	1.09	30	cross	
AS02978	4.168	4.738	1.31202E-09	8.93179E-10	cold	hs	cl	m	0.95	23	cross	
AS02979	3.985	4.536	1.27997E-09	8.67892E-10	cold	hs	cl	m	0.81	23	basic	
